date,open,high,low,close,adjusted_close,volume
2010-01-01,1097.25,1097.9,1097.05,1097.35,1097.35,27
2010-01-04,1096.25,1123.8001,1093.45,1120.4,1120.4,290
2010-01-05,1121.3001,1128.1,1115.25,1119.05,1119.05,133
2010-01-06,1118.4,1140.6,1116.0,1138.9,1138.9,235
2010-01-07,1138.2,1139.15,1128.6,1132.3001,1132.3001,112
2010-01-08,1131.85,1139.8001,1119.95,1136.6,1136.6,194
2010-01-11,1137.2,1161.9,1137.2,1153.0,1153.0,232
2010-01-12,1151.5501,1158.4,1125.35,1127.7,1127.7,305
2010-01-13,1128.5,1138.85,1119.75,1138.8001,1138.8001,187
2010-01-14,1137.95,1146.65,1131.15,1143.25,1143.25,155
2010-01-15,1143.1,1146.6,1127.5,1130.9,1130.9,186
2010-01-18,1129.4,1137.5501,1126.75,1133.0,1133.0,114
2010-01-19,1132.05,1140.8001,1129.0,1138.1,1138.1,123
2010-01-20,1138.5,1141.6,1107.4,1111.7,1111.7,319
2010-01-21,1111.65,1117.85,1088.7,1095.15,1095.15,280
2010-01-22,1094.65,1099.15,1082.3001,1093.0,1093.0,173
2010-01-25,1091.05,1104.2,1091.05,1098.25,1098.25,139
2010-01-26,1098.4,1103.5501,1085.8001,1098.05,1098.05,180
2010-01-27,1097.7,1102.7,1083.65,1086.85,1086.85,192
2010-01-28,1087.8001,1096.35,1074.15,1086.3001,1086.3001,222
2010-01-29,1087.2,1090.6,1074.85,1081.5501,1081.5501,164
2010-02-01,1080.1,1107.9,1076.8001,1107.35,1107.35,300
2010-02-02,1105.8001,1118.35,1099.0,1115.2,1115.2,193
2010-02-03,1114.4,1124.85,1107.2,1109.65,1109.65,176
2010-02-04,1109.3001,1111.1,1059.5,1063.45,1063.45,484
2010-02-05,1063.15,1069.15,1044.25,1065.45,1065.45,252
2010-02-08,1067.4,1073.9,1061.9,1063.75,1063.75,131
2010-02-09,1062.95,1083.45,1061.8001,1077.3001,1077.3001,219
2010-02-10,1077.45,1082.5,1063.5,1072.85,1072.85,195
2010-02-11,1072.0,1098.15,1071.35,1095.35,1095.35,264
2010-02-12,1096.7,1097.35,1078.5501,1093.4,1093.4,191
2010-02-15,1092.85,1102.65,1092.0,1101.0,1101.0,116
2010-02-16,1099.6,1121.2,1097.85,1119.95,1119.95,228
2010-02-17,1119.25,1127.25,1111.7,1115.2,1115.2,157
2010-02-18,1106.35,1124.05,1098.2,1123.9,1123.9,249
2010-02-19,1111.3001,1126.95,1098.95,1118.85,1118.85,268
2010-02-22,1124.9,1131.05,1109.7,1113.7,1113.7,208
2010-02-23,1113.8001,1121.2,1099.35,1102.05,1102.05,214
2010-02-24,1103.4,1108.35,1089.85,1096.4,1096.4,186
2010-02-25,1097.6,1109.15,1088.6,1106.1,1106.1,205
2010-02-26,1105.0,1119.2,1104.4,1116.5,1116.5,152
2010-03-01,1116.5501,1123.7,1112.05,1117.35,1117.35,123
2010-03-02,1118.75,1137.75,1115.1,1134.65,1134.65,219
2010-03-03,1134.85,1145.0,1132.4,1139.5,1139.5,130
2010-03-04,1139.8001,1141.6,1126.1,1132.0,1132.0,155
2010-03-05,1131.8001,1140.7,1127.0,1132.05,1132.05,140
